Partner Name,Tier,Location,References,Certified Experts,Profile URL,Certified Versions,References Total,Customer Retention %,Largest Reference Users,Average Reference Users,Reference Industries,RI_Agriculture,RI_Construction_Renovation,RI_ECO_liable_to_deduct_TCS_u_s_52,RI_ECO_liable_to_pay_GST_u_s_9_5,RI_Education,RI_Entertainment_Media,RI_Finance_Legal_Insurance,RI_Food_Hospitality_Tourism_Beverage,RI_Government,RI_HR_Administrative_Consulting,RI_Health_Social_Welfare_Pharmaceutical,RI_Households,RI_IT_Communication_Marketing,RI_Manufacturing_Maintenance,RI_Mining_Quarrying,RI_NGO,RI_Other_Services,RI_Real_Estate,RI_Science_Technology,RI_Transportation_Logistics,RI_Utilities_Energy_Water_supply,RI_Wholesale_Retail
AMBIT ROMANIA S.R.L.,Ready,"Romania , Iași , IASI",1,0,https://www.odoo.com/partners/ambit-romania-srl-24594783,,,100.0,5,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMT Consulting Group,Ready,"Puerto Rico , Gurabo , 00778",1,1,https://www.odoo.com/partners/amt-consulting-group-17097314,v17:1,,100.0,5,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AOS Sénégal,Ready,"Senegal , Dakar",1,0,https://www.odoo.com/partners/aos-senegal-19533528,,,100.0,10,8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASIA SISTEM INDONESIA,Ready,"Indonesia , Jakarta , Jakarta Pusat , 10270",1,0,https://www.odoo.com/partners/asia-sistem-indonesia-19151364,,,100.0,5,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATI Limited,Ready,"Bangladesh , Dhaka , 1230",1,1,https://www.odoo.com/partners/ati-limited-16042863,v18:1,,100.0,50,30,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUBOROS NZ,Ready,"New Zealand , Parnell , 1052",1,1,https://www.odoo.com/partners/auboros-nz-21964576,v18:1,,100.0,10,10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acunomic GmbH,Ready,"Switzerland , Zürich , 8050",1,3,https://www.odoo.com/partners/acunomic-gmbh-14248810,v17:3,,100.0,10,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advantari Digital Solutions W.L.L,Ready,"Bahrain , Hidd , 0",1,1,https://www.odoo.com/partners/advantari-digital-solutions-wll-22712939,v18:1,,100.0,10,10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afomsoft Technologies,Ready,N/A,1,0,https://www.odoo.com/partners/afomsoft-technologies-8144159,,,,200,170,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aifos SA,Ready,"Paraguay , Asuncion , ND",1,0,https://www.odoo.com/partners/aifos-sa-24098418,,,100.0,20,10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ainos,Ready,"Luxembourg , Koerich , L-8399",1,0,https://www.odoo.com/partners/ainos-22952341,,,100.0,5,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Akrosrd,Ready,"Dominican Republic , Distrito Nacional , Santo Domingo , 10149",1,0,https://www.odoo.com/partners/akrosrd-20440936,,,100.0,5,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al Qemam,Ready,"Saudi Arabia , Riyadh , 1",1,0,https://www.odoo.com/partners/al-qemam-20806693,,,100.0,10,10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alchemid,Ready,"Argentina , Santa Fe , Rafaela , 2300",1,0,https://www.odoo.com/partners/alchemid-14900590,,,100.0,5,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alianza POS,Ready,"Venezuela , Caracas , 1030",1,0,https://www.odoo.com/partners/alianza-pos-20140410,,,100.0,5,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alitec Solutions Sdn Bhd,Ready,"Malaysia , Johor , 81200",1,1,https://www.odoo.com/partners/alitec-solutions-sdn-bhd-11379552,v17:1,,100.0,5,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alle Tech L.L.C-FZ,Ready,"United Arab Emirates , Dubai , Dubai",1,0,https://www.odoo.com/partners/alle-tech-llc-fz-26284934,,,100.0,5,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ambinte,Ready,"Guatemala , Guatemala , Guatemala , 01016",1,0,https://www.odoo.com/partners/ambinte-24404940,,,100.0,5,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anser Asesores, c.a",Ready,"Venezuela , Caracas , Caracas , 6050",1,0,https://www.odoo.com/partners/anser-asesores-ca-21501092,,,100.0,5,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AppLogica Information Technology Company,Ready,Saudi Arabia,1,0,https://www.odoo.com/partners/applogica-information-technology-company-23475776,,,100.0,10,6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arbisoft,Ready,"Saudi Arabia , Riyadh , 13521",1,1,https://www.odoo.com/partners/arbisoft-17094123,v18:1,,100.0,10,10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ark Infotech,Ready,"United States , Maryland , Gaithersburg , 20879-3546",1,0,https://www.odoo.com/partners/ark-infotech-22742026,,,100.0,5,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ascent Digital LLC,Ready,"United States , Georgia , Monroe , 30655",1,0,https://www.odoo.com/partners/ascent-digital-llc-23423348,,,100.0,30,25,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ascetic Business Solution - USA,Ready,N/A,1,0,https://www.odoo.com/partners/ascetic-business-solution-usa-4337977,,,,200,83,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asinpa,Ready,"United States , Texas , Frisco , 75034",1,2,https://www.odoo.com/partners/asinpa-21757080,v18:2,,100.0,10,7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atou Ivorio,Ready,"Côte d'Ivoire , Abidjan",1,0,https://www.odoo.com/partners/atou-ivorio-11985962,,,100.0,200,95,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Audintel,Ready,"United States , California , Cupertino , 95014-2305",1,0,https://www.odoo.com/partners/audintel-14171677,,,100.0,20,12,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aulora AG,Ready,"Switzerland , Bern , 3011",1,0,https://www.odoo.com/partners/aulora-ag-20953597,,,100.0,700,228,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B.L.E.V. Sàrl,Ready,"Luxembourg , Wincrange , 9645",1,1,https://www.odoo.com/partners/blev-sarl-2328412,v19:1,,100.0,10,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BACG Guatemala,Ready,"Guatemala , Ciudad de Guatemala",1,0,https://www.odoo.com/partners/bacg-guatemala-17419074,,,100.0,5,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BDO S.R.L.,Ready,"Dominican Republic , Santo Domingo , Santo Domingo , 10121",1,0,https://www.odoo.com/partners/bdo-srl-18728115,,,100.0,10,10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BINIT CONSEIL ET SERVICES FRANCE,Ready,"France , PARIS , 75006",1,1,https://www.odoo.com/partners/binit-conseil-et-services-france-19872644,v19:1,,100.0,100,32,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BINNTECHS,Ready,"Egypt , Cairo , 11835",1,0,https://www.odoo.com/partners/binntechs-26747451,,,100.0,40,35,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLUVIT GmbH,Ready,"Germany , Hessen , Lohfelden , 34253",1,0,https://www.odoo.com/partners/bluvit-gmbh-21821166,,,100.0,20,14,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BREAKTHROUGH CONSULTING SERVICES,Ready,"Mexico , Nuevo Leon , SAN PEDRO GARZA GARCIA , 66260",1,0,https://www.odoo.com/partners/breakthrough-consulting-services-20867200,,,100.0,10,7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BROWSEINFO MALAYSIA PLT,Ready,"Malaysia , Kuala Lumpur , Kuala Lumpur",1,1,https://www.odoo.com/partners/browseinfo-malaysia-plt-5576824,v18:1,,100.0,50,45,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Be Data Solutions Limited,Ready,"Bangladesh , Dhaka , 1207",1,1,https://www.odoo.com/partners/be-data-solutions-limited-15671045,v18:1,,100.0,40,36,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Berry Technology (Pvt) Ltd,Ready,"Sri Lanka , Rajagiriya , 10107",1,2,https://www.odoo.com/partners/berry-technology-pvt-ltd-16372989,v19:1; v18:1,,100.0,20,11,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BetaSepp,Ready,N/A,1,0,https://www.odoo.com/partners/betasepp-9098631,,,,5,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Big Silly Bug,Ready,"Egypt , Cairo , Cairo , 11742",1,1,https://www.odoo.com/partners/big-silly-bug-23212585,v18:1,,100.0,10,10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bintell Inteligencia de Negocios SA,Ready,N/A,1,0,https://www.odoo.com/partners/bintell-inteligencia-de-negocios-sa-5002346,,,,20,8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bits Americas S.A.S,Ready,N/A,1,3,https://www.odoo.com/partners/bits-americas-sas-2996208,v17:3,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Black Iron Group,Ready,"United States , Connecticut , Fairfield , 06824",1,2,https://www.odoo.com/partners/black-iron-group-16436638,v18:2,,100.0,10,10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BlackDots MMC,Ready,"Azerbaijan , Baku , 1025",1,1,https://www.odoo.com/partners/blackdots-mmc-24602293,v18:1,,100.0,10,10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blasquared,Ready,"Azerbaijan , Baku , AZ1065",1,0,https://www.odoo.com/partners/blasquared-18880380,,,100.0,10,10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blue Metrics,Ready,"France , Saint Barthelemy d'Anjou , 49124",1,1,https://www.odoo.com/partners/blue-metrics-21861567,v18:1,,100.0,50,17,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Branetconsultores,Ready,"Venezuela , Caracas , Caracas",1,0,https://www.odoo.com/partners/branetconsultores-11744847,,,100.0,300,220,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bricks Technologies Systems L.L.C.,Ready,"United Arab Emirates , Abu Dhabi , 47175",1,1,https://www.odoo.com/partners/bricks-technologies-systems-llc-18795253,v18:1,,100.0,10,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bright Information Systems,Ready,"Egypt , Cairo , 11841",1,1,https://www.odoo.com/partners/bright-information-systems-16673037,v18:1,,100.0,20,18,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Business Partner Company Ltd.,Ready,"Saudi Arabia , Riyadh , 13326",1,0,https://www.odoo.com/partners/business-partner-company-ltd-20648719,,,100.0,30,15,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C7 SYSTEM,Ready,"Guatemala , Guatemala , Guatemala , 01016",1,0,https://www.odoo.com/partners/c7-system-24634501,,,100.0,20,10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAPA IT,Ready,"Argentina , Córdoba , Cordoba , X5014IWA",1,0,https://www.odoo.com/partners/capa-it-19936309,,,100.0,5,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAPPS AI S.R.L.,Ready,"Romania , Timiș , Timisoara , 300085",1,0,https://www.odoo.com/partners/capps-ai-srl-23875682,,,100.0,10,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CATC Group,Ready,"Aruba , Aruba , 000",1,0,https://www.odoo.com/partners/catc-group-23224495,,,100.0,5,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CERTICOM SAC,Ready,"Peru , Lima , San Isidro , 15046",1,0,https://www.odoo.com/partners/certicom-sac-8602765,,,100.0,5,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFOTOOLS,Ready,N/A,1,0,https://www.odoo.com/partners/cfotools-16661492,,,,10,6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CIBERIT,Ready,N/A,1,1,https://www.odoo.com/partners/ciberit-16892270,v18:1,,,20,17,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CISMAT CONSULTING,Ready,N/A,1,0,https://www.odoo.com/partners/cismat-consulting-5143228,,,,20,20,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CL Advanced Technologies, SA",Ready,"Panama , Panama , Panamá , 00000",1,0,https://www.odoo.com/partners/cl-advanced-technologies-sa-19703699,,,100.0,10,6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMJ Sistemas Ltda.,Ready,"Brazil , São Paulo , São Paulo , 04686-001",1,0,https://www.odoo.com/partners/cmj-sistemas-ltda-23705461,,,100.0,5,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTTL - Caribbean Tech TrendZ limited,Ready,"Trinidad and Tobago , Gasparillo , 8H9H+6W6",1,0,https://www.odoo.com/partners/cttl-caribbean-tech-trendz-limited-12460540,,,100.0,10,9,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CXPR Technology LTD,Ready,"Canada , Nova Scotia , Halifax , NS B3M 0A7",1,0,https://www.odoo.com/partners/cxpr-technology-ltd-21704455,,,100.0,5,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabri Bilgi Teknolojileri,Ready,"Türkiye , Bursa , Nilüfer , 16500",1,1,https://www.odoo.com/partners/cabri-bilgi-teknolojileri-22777395,v18:1,,100.0,20,7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Captivea India,Ready,"India , Gujarat , Vadodara , 390 007",1,1,https://www.odoo.com/partners/captivea-india-22732155,v17:1,,100.0,5,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caret IT Solutions Canada,Ready,"Canada , Quebec , Mont-Royal , H3R 2J8",1,1,https://www.odoo.com/partners/caret-it-solutions-canada-13347907,v17:1,,100.0,5,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaspiNet LLC,Ready,"Azerbaijan , Baku , AZ1010",1,0,https://www.odoo.com/partners/caspinet-llc-25090330,,,100.0,5,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CeltiX - Business Solutions,Ready,"Argentina , Buenos Aires , Ciudad Autonoma de Buenos Aires , 1425",1,0,https://www.odoo.com/partners/celtix-business-solutions-23341301,,,100.0,40,19,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cerial Projects Services Inc.,Ready,"Canada , Manitoba , Winnipeg , R3Y 0S1",1,0,https://www.odoo.com/partners/cerial-projects-services-inc-11125339,,,100.0,5,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cloud Softway,Ready,"United Arab Emirates , Dubai",1,1,https://www.odoo.com/partners/cloud-softway-22911172,v18:1,,100.0,30,23,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cmg Business Administration S.A.S.,Ready,"Ecuador , Quito , 170511",1,0,https://www.odoo.com/partners/cmg-business-administration-sas-3282980,,,100.0,5,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Commerce Pundit,Ready,"United States , Georgia , Duluth , 30096",1,0,https://www.odoo.com/partners/commerce-pundit-18608974,,,100.0,5,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Confitec Tecnologia,Ready,"Brazil , São Paulo , JARDIM SARAH , 05.382-070",1,0,https://www.odoo.com/partners/confitec-tecnologia-19145889,,,100.0,100,70,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Consultics AG,Ready,"Switzerland , Thurgau , Ettenhausen , 8356",1,0,https://www.odoo.com/partners/consultics-ag-17979636,,,100.0,30,30,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Convenience Pay Technologies Limited,Ready,"Trinidad and Tobago , San Juan",1,0,https://www.odoo.com/partners/convenience-pay-technologies-limited-18053234,,,100.0,10,10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Core One Ltd,Ready,N/A,1,0,https://www.odoo.com/partners/core-one-ltd-21242753,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CyberPublicity,Ready,"Canada , Quebec , Montreal , QC H3B 1R2",1,1,https://www.odoo.com/partners/cyberpublicity-20846268,v18:1,,100.0,40,26,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CÔNG TY TNHH CÁNH CAM SOLUTIONS,Ready,"Vietnam , TP Hồ Chí Minh , Ho Chi Minh , 70000",1,0,https://www.odoo.com/partners/cong-ty-tnhh-canh-cam-solutions-24516730,,,100.0,10,10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CÔNG TY TNHH MERCURY STUDIO,Ready,"Vietnam , TP Hồ Chí Minh , Ho Chi Minh City",1,1,https://www.odoo.com/partners/cong-ty-tnhh-mercury-studio-23328758,v18:1,,100.0,10,10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Công ty TNHH Phần Mềm MICAD,Ready,"Vietnam , TP Hồ Chí Minh , Phường Chợ Quán , 700000",1,0,https://www.odoo.com/partners/cong-ty-tnhh-phan-mem-micad-16603183,,,100.0,10,10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAR Tecnología e Innovación EAS,Ready,"Paraguay , Coronel Oviedo , 050107",1,0,https://www.odoo.com/partners/dar-tecnologia-e-innovacion-eas-13609278,,,100.0,5,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHX Software,Ready,"United States , Arizona , Phoenix , 85016",1,1,https://www.odoo.com/partners/dhx-software-24843189,v18:1,,100.0,40,19,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIGITAL DECISION INDONESIA,Ready,Indonesia,1,0,https://www.odoo.com/partners/digital-decision-indonesia-22517291,,,100.0,20,11,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOPILOT,Ready,"Australia , New South Wales , Zetland , 2017",1,0,https://www.odoo.com/partners/dopilot-24695878,,,100.0,5,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel Street Group,Ready,"United States , Massachusetts , Boston , 02109",1,0,https://www.odoo.com/partners/daniel-street-group-24409516,,,100.0,5,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dataliva Bilişim Hizmetleri A.Ş.,Ready,"Türkiye , İstanbul , Istanbul , 34000",1,1,https://www.odoo.com/partners/dataliva-bilisim-hizmetleri-as-18073842,v18:1,,100.0,30,16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delta Line International - شركة دلتا الاتصالات العالمية,Ready,"Saudi Arabia , Riyadh , Riyadh , 13516",1,0,https://www.odoo.com/partners/delta-line-international-شركة-دلتا-الاتصالات-العالمية-10510596,,,100.0,40,40,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Devtouch!, SIA",Ready,"Latvia , Rīga , 1011",1,0,https://www.odoo.com/partners/devtouch-sia-18302756,,,100.0,5,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DigitAi LLC,Ready,"Armenia , Yerevan , 0010",1,1,https://www.odoo.com/partners/digitai-llc-22390761,v18:1,,100.0,10,9,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Digital Solutions C&C,Ready,"Ecuador , Quito , 170514",1,0,https://www.odoo.com/partners/digital-solutions-cc-23725868,,,100.0,10,6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dome of Delight - قمرة السعادة,Ready,"Saudi Arabia , Riyadh , Riyadh , 13245",1,1,https://www.odoo.com/partners/dome-of-delight-قمرة-السعادة-15150329,v17:1,,100.0,40,20,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dors Coding Agency,Ready,"Brazil , São Paulo , Osasco , 06030150",1,0,https://www.odoo.com/partners/dors-coding-agency-20581587,,,100.0,50,27,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Driscoll Associates,Ready,"United States , Pennsylvania , Philadelphia , 19147",1,0,https://www.odoo.com/partners/driscoll-associates-21734531,,,100.0,5,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E-VM E VALUE MANAGEMENT S.R.L.,Ready,"Italy , Genova , GENOVA , 16128",1,0,https://www.odoo.com/partners/e-vm-e-value-management-srl-26645990,,,100.0,30,23,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENTROSOFT COMPANY LIMITED,Ready,"Vietnam , Hồ Chí Minh , 70000",1,1,https://www.odoo.com/partners/entrosoft-company-limited-20946381,v18:1,,100.0,10,10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERP Factory B.V.,Ready,"Netherlands , Drenthe , Meppel , 7941 KP",1,0,https://www.odoo.com/partners/erp-factory-bv-25329045,,,100.0,5,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Enterprise B.V.,Ready,"Netherlands , Hengelo OV , 7551 AH",1,0,https://www.odoo.com/partners/eastern-enterprise-bv-21053257,,,100.0,5,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EasySolutions SHPK,Ready,N/A,1,0,https://www.odoo.com/partners/easysolutions-shpk-27355887,,,,20,8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eches Pvt Ltd,Ready,"Maldives , Male , 20306",1,1,https://www.odoo.com/partners/eches-pvt-ltd-13368570,v17:1,,100.0,20,15,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eckinox,Ready,"Canada , Quebec , Alma (QC) , G8B 1L9",1,0,https://www.odoo.com/partners/eckinox-15698864,,,100.0,10,9,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elevanta Services Co., Ltd.",Ready,"Thailand , Chonburi , 20110",1,1,https://www.odoo.com/partners/elevanta-services-co-ltd-19138659,v18:1,,100.0,20,7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emprendimiento Alexis Medina 10,Ready,N/A,1,0,https://www.odoo.com/partners/emprendimiento-alexis-medina-10-21028248,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emprendimiento Franklin González 17,Ready,"Venezuela , Monagas , Maturín , 6201",1,0,https://www.odoo.com/partners/emprendimiento-franklin-gonzalez-17-23202851,,,100.0,10,10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enesimal S.A.,Ready,"Argentina , Santa Fe , Rosario , 2000",1,0,https://www.odoo.com/partners/enesimal-sa-18878140,,,100.0,20,15,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enquisitiv Solutions INC.,Ready,"Canada , Ontario , Markham , L3R-6G2",1,0,https://www.odoo.com/partners/enquisitiv-solutions-inc-13799885,,,100.0,5,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Epica,Ready,"Argentina , Buenos Aires , Ciudad Evita , B1778FOA",1,0,https://www.odoo.com/partners/epica-742640,,,100.0,5,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Euro Digital Technologies LLC,Ready,"United Arab Emirates , Abu Dhabi , Abu Dhabi , 39854",1,0,https://www.odoo.com/partners/euro-digital-technologies-llc-4196878,,,100.0,5,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everest Technology ERP,Ready,"Costa Rica , Alajuela , 21001",1,0,https://www.odoo.com/partners/everest-technology-erp-25219399,,,100.0,5,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exo Digital Pty Ltd,Ready,"Australia , Victoria , Melbourne , 3000",1,1,https://www.odoo.com/partners/exo-digital-pty-ltd-14327620,v18:1,,100.0,20,15,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FINESTRA,Ready,"Costa Rica , San Rafael , 10203",1,0,https://www.odoo.com/partners/finestra-22227336,,,100.0,30,12,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Facts Digital AG,Ready,"Germany , Baden-Württemberg , Grafenau , 71120",1,0,https://www.odoo.com/partners/facts-digital-ag-22677498,,,100.0,20,8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fixsur Inteligencia Aplicada,Ready,"Argentina , Buenos Aires , Temperley , B1834",1,0,https://www.odoo.com/partners/fixsur-inteligencia-aplicada-23816012,,,100.0,5,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
